"gene_symbol"	"fold.change"	"adj.P.Val.all"	"t"	"high.class"	"mean1.unlog"	"mean0.unlog"	"sd0.unlog"	"sd1.unlog"	"entrez_id"	"gene_description"	"Unique.Name"	"Descriptor"	"alteration_direction"	"interaction_type"	"logFC"	"AveExpr"	"P.Value"	"adj.P.Val"	"B"	"mean0.log"	"mean1.log"	"sd0.log"	"sd1.log"	"n0"	"n1"
"KDM4A"	1.32848495868094	0.000906200438631952	3.50208532520302	"case"	1297.21891666667	951.020676363636	234.436776118657	569.536081221532	"9682"	"lysine (K)-specific demethylase 4A"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.409781893497021	9.87565420700884	0.000291921057330293	0.00120749164622985	-0.990727637260541	9.84787238372091	10.2576542772179	0.382006729029248	0.469563564546071	165	12
"SLC6A9"	1.71342024252625	0.00318966690990902	3.09741914303655	"case"	373.635216666667	166.149545454545	104.33255048654	499.02088804418	"6536"	"solute carrier family 6 (neurotransmitter transporter, glycine), member 9"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.776879037850733	7.21303678532037	0.00113464487024244	0.00448924709530706	-2.24218461162896	7.16036702004236	7.93724605789309	0.810386773230307	1.22486059255633	165	12
"AKIRIN1"	1.33463849573916	0.00340967092953702	3.07116308048621	"case"	1646.3929	1100.38640727273	284.517002757245	1161.80912873389	"79647"	"akirin 1"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.416449022039412	10.078509222308	0.00123372826000042	0.00449077086640152	-2.31866022986657	10.0502753903054	10.4667244123448	0.422579988644742	0.763211178842137	165	12
"CDCA8"	1.88647929278776	0.00340967092953702	3.07178135581957	"case"	600.908316666667	241.200886060606	137.542356001867	634.021870479493	"55143"	"cell division cycle associated 8"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.915696264284589	7.71774567386164	0.00123130603036842	0.00449077086640152	-2.31686610798612	7.65566457119828	8.57136083548286	0.961518875875591	1.48284655871591	165	12
"ATP6V0B"	1.405201383391	0.00358850678289305	3.05107217479417	"case"	4599.56108333333	2734.20579272727	1050.62967839498	4607.20775329615	"533"	"ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.490776901976329	11.3599144638637	0.00131487271434249	0.00460205450019873	-2.37678372045213	11.3266414535602	11.8174183555365	0.502781572317936	0.910568944861048	165	12
"HYI"	1.45949666111403	0.00484712160536106	2.94676064393994	"case"	681.544241666666	445.645279393939	228.481556035455	416.81461586312	"81888"	"hydroxypyruvate isomerase (putative)"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.545470910395	8.70204385682562	0.00182099399308107	0.00594049903618868	-2.67302681915937	8.66506277815477	9.21053368854977	0.607703340639119	0.780149906619005	165	12
"ZFP69B"	1.48220193972371	0.00484712160536106	2.94554142907736	"case"	38.6601083333333	25.9993666666667	11.3059333953856	16.834053900324	"65243"	"ZFP69 zinc finger protein B"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.567742018217769	4.65938990868622	0.00182784585728883	0.00594049903618868	-2.67643427938799	4.62089892440027	5.18864094261804	0.647031398935924	0.628106047082739	165	12
"CDC20"	2.178433843144	0.0053309847762985	2.91057101603911	"case"	1071.09274166667	381.895498787879	275.589318237648	1071.83530082922	"991"	"cell division cycle 20"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	1.12329130071357	8.2403126705403	0.00203472701385439	0.00638483304347412	-2.77362512944322	8.16415732811904	9.28744862883261	1.26867423505891	1.68673891483581	165	12
"TMCO2"	1.31502180518598	0.00673083192403945	2.82942184899258	"case"	1.186725	0.2087	0.454307235276294	2.96384563581752	"127391"	"transmembrane and coiled-coil domains 2"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.395086721930396	0.233725219203115	0.00259984805615569	0.00788620577033894	-2.99508825809824	0.206939678733257	0.602026400663653	0.39833255056406	1.03922969691029	165	12
"PTPRF"	1.46677293790474	0.00887573852927439	2.72775434341284	"case"	15378.222225	8047.99583333333	3309.21694833042	18486.9517597396	"5792"	"protein tyrosine phosphatase, receptor type, F"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.552645553551912	12.8823680291613	0.00350833461650908	0.0102986596807202	-3.26446524567594	12.8449005340052	13.3975460875572	0.634956556992232	1.15302530732317	165	12
"SCMH1"	1.24192829936153	0.00936860510133846	2.70632826490197	"case"	1118.619675	896.396389090909	230.769924679685	337.635726668524	"22955"	"sex comb on midleg homolog 1 (Drosophila)"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.312581884394524	9.78243698739106	0.00373313882664021	0.0106161135382581	-3.32008125264059	9.76124499522872	10.0738268796232	0.381213328269457	0.407483314679849	165	12
"NDUFS5"	1.3447629260175	0.00965009391655101	2.69342114056414	"case"	3286.81464166667	2301.67006484848	927.414478141654	2069.29973117647	"4725"	"NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase)"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.427351856346464	11.1021057677049	0.00387477053443193	0.0106849732919184	-3.35338972106005	11.0731327604949	11.5004846168414	0.516267094539303	0.705581265306008	165	12
"ELOVL1"	1.30920002212928	0.0115324390867861	2.62566493755437	"case"	3239.28925	2324.81425454545	721.352224428606	1876.70614104218	"64834"	"ELOVL fatty acid elongase 1"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.388685531881048	11.1366144287149	0.00470100952087311	0.012582113717631	-3.52583375742454	11.1102628672314	11.4989483991125	0.479948143641051	0.669275859576225	165	12
"EXO5"	1.36823063115735	0.012867752724901	2.58267405096932	"case"	181.299783333333	131.619453333333	39.2372544651461	72.5720406708438	"64789"	"exonuclease 5"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.452311433719882	6.99335092567178	0.00530426448202028	0.0137910876532527	-3.63314173629778	6.96268574372467	7.41499717744455	0.589403015543176	0.534550154275537	165	12
"CAP1"	1.34374953849554	0.0148787329147674	2.52489876766013	"case"	12702.20255	8969.89894181818	2940.39875597164	7508.12838898948	"10487"	"CAP, adenylate cyclase-associated protein 1 (yeast)"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.42626425921536	13.0680498858732	0.00622408063915462	0.015733092726752	-3.77476373545528	13.039150614062	13.4654148732773	0.55640464759326	0.676214186234128	165	12
"B4GALT2"	1.2821817149297	0.0153694459498149	2.51039547031592	"case"	1778.988775	1230.01283151515	389.803275457142	1190.13852247591	"8704"	"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.358600739842796	10.2230036531937	0.00647628562160139	0.0159281619342088	-3.80984733972805	10.1986917386281	10.5572924784709	0.438280463392907	0.86352155209105	165	12
"RIMS3"	1.57640421025162	0.016570043638954	2.48142672856489	"case"	149.94535	80.9859824242424	53.158184720361	161.092325329593	"9783"	"regulating synaptic membrane exocytosis 3"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.656637507735446	6.14972208539374	0.00700748410380191	0.0167810803538414	-3.8793595142019	6.10520428825913	6.76184179599458	0.86860991191403	1.15281229721627	165	12
"ZNF684"	1.2948824393774	0.0287288181501791	2.25502877496907	"case"	64.7429083333333	51.2255096969697	18.83761964061	18.7937052583358	"127396"	"zinc finger protein 684"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.372821123528773	5.63186347239213	0.012675768618934	0.0295767934441793	-4.39655324356212	5.6065874640173	5.97940858754607	0.559349933088717	0.444028412931767	165	12
"ZFP69"	1.25928304719565	0.0369763681365663	2.14504518831855	"case"	114.257841666667	84.0796393939394	21.0530854843171	65.6862955378262	"339559"	"ZFP69 zinc finger protein"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.332602591944828	6.37052605174694	0.0166534787790642	0.037886664222371	-4.63096558412424	6.34797672347949	6.68057931542433	0.504329249673244	0.689105195028658	165	12
"MFSD2A"	1.84689997321238	0.0407939085371755	2.10163638982814	"case"	787.877675	321.301218181818	298.782995947896	1203.14429722449	"84879"	"major facilitator superfamily domain containing 2A"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.885105733099889	7.83818925425157	0.0184973905886124	0.0410551839893593	-4.72042451429905	7.77818208590582	8.66328781900571	1.40864872432197	1.54750239042612	165	12
"RRAGC"	1.39087265760739	0.0419575282824792	2.08569632934999	"case"	427.200483333333	303.070184848485	119.748472468829	239.203722112618	"64121"	"Ras-related GTP binding C"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.475990338896549	8.13002271077847	0.0192171885263264	0.0416372418070405	-4.75283802263585	8.09775217932786	8.5737425182244	0.769639022275041	0.709655541220047	165	12
"ZNF691"	1.1664363559876	0.045295182021899	2.05206293921185	"case"	226.664308333333	194.248207878788	48.2366147853007	55.0175565448217	"51058"	"zinc finger protein 691"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.222107592014807	7.58081308542354	0.020815037845178	0.0440504289281675	-4.82045918513233	7.56575494359202	7.78786253560683	0.356602551259631	0.378181071584447	165	12
"ZMYND12"	1.44416188956689	0.0511653218292668	1.9957006389153	"case"	49.4282416666667	30.56902	25.23072840847	36.912948433023	"84217"	"zinc finger, MYND-type containing 12"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.530232476424555	4.7493747942507	0.0237469585283925	0.0491130278655391	-4.93142613271851	4.71342682974734	5.24365930617189	0.86326677135833	1.25265865165698	165	12
"SZT2"	1.17227177385463	0.0657292875234579	1.86790683369591	"case"	1109.20906666667	953.654371515152	259.059158091318	302.942388928583	"23334"	"seizure threshold 2 homolog (mouse)"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.229307076022151	9.85884848061374	0.0317106181029201	0.0641259166081274	-5.1720644161163	9.84330223817156	10.0726093141937	0.410553800561152	0.363840143084119	165	12
"HIVEP3"	1.23241004568635	0.0882689977741402	1.72212493020801	"case"	279.979433333333	218.372599393939	80.0911156400904	121.569039616533	"59269"	"human immunodeficiency virus type I enhancer binding protein 3"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.301482347310423	7.69533307657759	0.0433933088294246	0.0858432848582096	-5.4278613147923	7.674893595404	7.97637594271442	0.570865862243968	0.77592068680046	165	12
"COL9A2"	1.54963621150259	0.107748495253312	1.61731407639867	"case"	731.353958333333	461.176315757576	395.575570074974	574.146643021257	"1298"	"collagen, type IX, alpha 2"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.631929571976373	8.38721536557517	0.0537919968669205	0.104150462018931	-5.59934906381402	8.34437268272932	8.9763022547057	1.30727909727988	1.42661772864189	165	12
"CLDN19"	1.28159626730103	0.121098563702387	1.55065816516335	"case"	2.74684166666667	0.759177575757576	1.54265933040222	7.1674503841969	"149461"	"claudin 19"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.357941850959967	0.600009645809315	0.0613812567163243	0.116368632524698	-5.7029719744418	0.575742401676436	0.933684252636403	0.718466650588615	1.36233442754649	165	12
"RLF"	1.17302993378501	0.123817475884513	1.53099790909444	"case"	629.351225	525.879348484848	156.648758439655	273.744982700732	"6018"	"rearranged L-myc fusion"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.23023982902898	8.98161617157546	0.0637739613177203	0.118437356732909	-5.73272560238524	8.96600669164129	9.19624652067027	0.498793650150059	0.54754504390117	165	12
"ERMAP"	1.13079281652445	0.189715572484121	1.27191076839989	"case"	360.672975	319.9214	97.5606039931772	96.3848373584118	"114625"	"erythroblast membrane-associated protein (Scianna blood group)"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.177334623444908	8.2681629158293	0.102533301770044	0.18661060922148	-6.09014768633581	8.25614022949405	8.43347485293896	0.462492243643305	0.49588883315673	165	12
"SNIP1"	1.10064190902219	0.206473401927046	1.21076379249148	"case"	315.948758333333	269.281586060606	59.886191189107	183.284596503031	"79753"	"Smad nuclear interacting protein 1"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.138345168167854	8.04687269851416	0.113796790985746	0.203049176072605	-6.16504976480071	8.03749336507905	8.1758385332469	0.362045498109397	0.571884739788526	165	12
"SNORA55"	1.08438898038673	0.225469670071574	1.1526590313563	"case"	0.172841666666667	0.109028484848485	1.11662961738231	0.437671207972239	"677834"	"small nucleolar RNA, H/ACA box 55"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.116882357625963	0.0574751190159834	0.125299175429088	0.219273557000905	-6.23286170610009	0.049550891380325	0.166433249006288	0.329042787833505	0.407201210902941	165	12
"RHBDL2"	1.33869299228638	0.302190045960655	0.935825802088328	"case"	453.678633333333	281.612589090909	181.149337628653	497.835287934964	"54933"	"rhomboid, veinlet-like 2 (Drosophila)"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.420825139683737	7.70724388386586	0.175316362542059	0.301014886628819	-6.45685435103003	7.6787133659212	8.09953850560493	1.50018707114452	1.70754995703361	165	12
"MACF1"	1.10310354746867	0.353630989420981	0.817672455755635	"case"	6769.60375833333	6018.60066969697	2073.03439374308	3252.76474530928	"23499"	"microtubule-actin crosslinking factor 1"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.141568221942798	12.4658583447602	0.207319541889552	0.349371820591653	-6.55952306991856	12.4562604992048	12.5978287211476	0.575883850935929	0.628403847661678	165	12
"RIMKLA"	1.18309387568486	0.363626868353844	0.789622124423414	"case"	177.520208333333	107.453647878788	72.4782261017871	244.347773291275	"284716"	"ribosomal modification protein rimK-like family member A"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.242564552639394	6.4714415939705	0.215400343391285	0.350025558010838	-6.58188093461393	6.45499653955427	6.69756109219366	0.982625358639309	1.60674429724871	165	12
"ST3GAL3"	1.10395552292395	0.361780143413839	0.799100469070303	"case"	257.355425	223.276819393939	112.336296283011	145.638519619939	"6487"	"ST3 beta-galactoside alpha-2,3-sialyltransferase 3"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.142682048792133	7.69182429113947	0.212649397273783	0.350025558010838	-6.57441276211641	7.68215093189933	7.82483298069146	0.584793950650104	0.764901881299454	165	12
"CCDC24"	1.14069874289358	0.376225317625916	0.756742147902631	"case"	360.068825	312.487803030303	191.341670653642	191.629343544995	"149473"	"coiled-coil domain containing 24"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.189917827980675	8.0671040122591	0.225103178683656	0.359375250179171	-6.60710169286888	8.05422822731125	8.24414605529192	0.832497574273456	0.986182154774791	165	12
"PPT1"	1.07706628160657	0.407654867290726	0.6831374165889	"case"	3106.01421666667	2891.08324727273	969.320155298186	1002.78857477625	"5538"	"palmitoyl-protein thioesterase 1"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.107107034657167	11.4179601361384	0.247704789590395	0.388640273322861	-6.65969611574645	11.4106986422633	11.5178056769205	0.52227837599305	0.545608129690985	165	12
"SLFNL1"	1.11553264644053	0.442467858995426	0.603155788905806	"case"	9.42255	8.49061151515152	8.30187942776937	7.86847638520606	"200172"	"schlafen-like 1"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.15773273515863	2.9667730108962	0.273586996783432	0.421973164530378	-6.71078131715107	2.95607926613968	3.11381200129832	0.879566118057244	0.864765647478763	165	12
"GUCA2A"	1.25880146331813	0.448635106721096	0.587609265726676	"case"	228.235683333333	9.02836424242424	18.3433136439776	682.28400022779	"2980"	"guanylate cyclase activator 2A (guanylin)"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.332050760838725	2.13434287740322	0.278770211351887	0.422801487217028	-6.71997678314772	2.11183096141415	2.44388172225288	1.73184452919773	3.59430383892137	165	12
"GJA9"	1.09832508693048	0.486657650684	0.507800678634289	"case"	16.53275	15.5952090909091	10.4106648699655	10.4103718252083	"81025"	"gap junction protein, alpha 9, 59kDa"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.135305132564526	3.79358449934659	0.306111377224134	0.456657956186823	-6.76341492082658	3.78441127002018	3.91971640258471	0.90089131684145	0.80821492003272	165	12
"GUCA2B"	1.18518485608454	0.502273759894208	0.475611298237242	"case"	18.4663416666667	8.99914727272727	19.0476310564178	42.2101346853715	"2981"	"guanylate cyclase activator 2B (uroguanylin)"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.245112097230836	2.15885175029037	0.31746768945985	0.465960640981393	-6.77914894236976	2.14223398098659	2.38734607821742	1.70039913235456	2.19495222151248	165	12
"BMP8B"	1.09284892192843	0.524194197964748	0.429020275344586	"case"	179.607141666667	153.494036969697	125.612651092644	194.762909747539	"656"	"bone morphogenetic protein 8b"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.128093973151101	6.93747532440239	0.334214026114231	0.482753593276112	-6.80010244305479	6.9287909872396	7.0568849603907	1.00016577744769	1.05812429798238	165	12
"KIAA0754"	1.13020840416034	0.55853370392757	0.359432328318895	"case"	302.358975	257.233646666667	227.579466557585	317.839899118091	"643314"	"KIAA0754"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.176588822133002	7.39223431164242	0.359849195507534	0.511660574862275	-6.82738668132483	7.38026218810798	7.55685101024099	1.65837915943134	1.59497506036699	165	12
"ARTN"	1.06752308801774	0.591072166645726	0.29197036078081	"case"	39.9751916666667	23.4729636363636	27.6679365249678	67.8510459324549	"9048"	"artemin"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.0942672722893247	4.21886652012991	0.385324908637748	0.539454872092847	-6.84924579901404	4.21247551861877	4.30674279090809	1.0233007655021	1.77487669393464	165	12
"INPP5B"	1.01963753384437	0.62692299419223	0.21891935076975	"case"	456.481891666667	454.891152727273	137.662940871841	110.238428723063	"3633"	"inositol polyphosphate-5-phosphatase B"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.0280563864508494	8.77163074123746	0.413482035864188	0.566263030809613	-6.8678143368529	8.76972861334249	8.79778499979334	0.430426766102389	0.357725176473797	165	12
"RSPO1"	1.07675170676878	0.630674139204626	0.210090273640354	"case"	25.0079666666667	24.8377060606061	40.1581205093518	31.9767682698871	"284654"	"R-spondin 1"	"AmplificationPeak1"	"1p34.2"	"Amplification"	"cis"	0.106685610410423	3.68134731274562	0.416918934771913	0.566263030809613	-6.869699102638	3.67411439000593	3.78080000041635	1.70595990847575	1.77158472885113	165	12
