Unique Name	DeletionPeak1	DeletionPeak2	DeletionPeak3	DeletionPeak4	DeletionPeak5	DeletionPeak6	DeletionPeak7	DeletionPeak8	DeletionPeak9	DeletionPeak10	DeletionPeak11	DeletionPeak12	DeletionPeak13	DeletionPeak14	DeletionPeak15	DeletionPeak16	DeletionPeak17	DeletionPeak18	DeletionPeak19	DeletionPeak20	DeletionPeak21	DeletionPeak22	DeletionPeak23	DeletionPeak24	DeletionPeak25	DeletionPeak26	DeletionPeak27	DeletionPeak28	DeletionPeak29	DeletionPeak30	DeletionPeak31	DeletionPeak32
		WDTC1							CCDC50						ATP6V1B2						UTP14C								SERPINB10			
		AHDC1							POP2						BLK						P2RY5								SERPINB13			
		ATPBD1B							UTS2D						BMP1						TRIM13								SERPINB3			
		PIGV							TPRG1						POLR3D						OLFM4								SERPINB4			
		GPATCH3							OSTN						BNIP3L						SUGT1								ZNF236			
		C1orf160													CHRNA2						LECT1								SERPINB7			
		ZDHHC18													CLU						FNDC3A								CTDP1			
		SYTL1													CTSB						INTS6								SOCS6			
		FAM46B													DEFA1						CKAP2								VPS4B			
		C1orf172													DEFA3						MED4								ZNF516			
		LOC388610													DEFA4						VPS36								TSHZ1			
		CD164L2													DEFA5						PHF11								CD226			
															DEFA6						RCBTB1								TXNL4A			
															DEFB1						NUDT15								ADNP2			
															DEFB4						THSD1								RTTN			
															DPYSL2						CYSLTR2								KCNG2			
															DUSP4						C13orf1								SALL3			
															EGR3						RNASEH2B								CDH19			
															EPB49						DHRS12								C18orf55			
															EPHX2						CDADC1								TXNDC10			
															EXTL3						CAB39L								ZNF407			
															PTK2B						CCDC70								CNDP2			
															FDFT1						SETDB2								CCDC102B			
															FGL1						EBPL								C18orf22			
															GATA4						ARL11								PQLC1			
															GFRA2						WDFY2								NETO1			
															GNRH1						FLJ40296								PARD6G			
															GSR						LOC144983								CNDP1			
															GTF2E2						DLEU7								SERPINB12			
															LOXL2						FAM124A								SERPINB11			
															LPL						KCNRG								DSEL			
															MSR1						NEK5								C18orf51			
															MSRA						ALG11								CBLN2			
															NEFM						LOC647174								FBXO15			
															NEFL														DOK6			
															NKX3-1														ZADH2			
															PCM1														C18orf62			
															PDGFRL														ATP9B			
															PNOC																	
															PPP2CB																	
															PPP2R2A																	
															PPP3CC																	
															SFTPC																	
															SLC7A2																	
															SLC18A1																	
															STC1																	
															WRN																	
															FZD3																	
															TUSC3																	
															UBXD6																	
															TNKS																	
															ADAM7																	
															TNFRSF10D																	
															TNFRSF10C																	
															TNFRSF10B																	
															TNFRSF10A																	
															FGF17																	
															DOK2																	
															MTMR7																	
															MFHAS1																	
															ENTPD4																	
															PHYHIP																	
															SORBS3																	
															NPM2																	
															DLC1																	
															SPAG11B																	
															DCTN6																	
															PNMA2																	
															ADAM28																	
															RBPMS																	
															LZTS1																	
															XPO7																	
															TRIM35																	
															RHOBTB2																	
															KIF13B																	
															PSD3																	
															LEPROTL1																	
															SLC39A14																	
															FGF20																	
															ADAMDEC1																	
															CNOT7																	
															PURG																	
															ZDHHC2																	
															SLC25A37																	
															SCARA3																	
															TMEM66																	
															KCTD9																	
															PINX1																	
															PIWIL2																	
															ELP3																	
															INTS10																	
															CCDC25																	
															AGPAT5																	
															INTS9																	
															CSGALNACT1																	
															HR																	
															PBK																	
															ZNF395																	
															DEFB103A																	
															BIN3																	
															TEX15																	
															MTUS1																	
															C8orf79																	
															KIAA1967																	
															SH2D4A																	
															PDLIM2																	
															EBF2																	
															RAI16																	
															MTMR9																	
															HMBOX1																	
															MCPH1																	
															PPP1R3B																	
															NUDT18																	
															DOCK5																	
															REEP4																	
															STMN4																	
															SOX7																	
															C8orf13																	
															AMAC1L2																	
															FAM86B1																	
															THEX1																	
															LONRF1																	
															CHMP7																	
															RP1L1																	
															CLDN23																	
															VPS37A																	
															SGCZ																	
															DEFB104A																	
															PRAGMIN																	
															PEBP4																	
															CDCA2																	
															ESCO2																	
															FBXO16																	
															UNQ9391																	
															C8orf74																	
															LGI3																	
															DEFB105A																	
															DEFB106A																	
															DEFB107A																	
															DEFB130																	
															NEIL2																	
															XKR6																	
															EFHA2																	
															SCARA5																	
															DUB3																	
															XKR5																	
															C8orf80																	
															DEFB103B																	
															DEFB107B																	
															DEFB104B																	
															DEFB106B																	
															DEFB105B																	
															C8orf58																	
															DEFB136																	
															DEFB137																	
															DEFB134																	
															SPAG11A																	
															LOC728358																	
															LOC728957																	
