# Using amp_thresh=0.30, del_thresh=0.30
Sample	Low	High
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_F02_566410	-0.300000	0.300000
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_F03_566380	-0.300000	1.041000
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_F06_566382	-0.992000	0.945000
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_F07_566334	-1.028000	0.962000
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_F10_566430	-0.300000	0.300000
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_G02_566506	-0.300000	1.135000
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_G06_566424	-0.300000	0.300000
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_G08_566338	-0.300000	0.300000
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_G09_566512	-0.700000	1.577000
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_G11_566358	-0.300000	0.685000
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_H02_566404	-0.990000	0.930000
HAMES_p_Shipp_AffySNP_22010_GenomeWideSNP_6_H08_566346	-1.055000	1.630000
LOGIA_p_Shipp_SNP_July_1_S_GenomeWideSNP_6_A07_609592	-0.300000	0.300000
LOGIA_p_Shipp_SNP_July_1_S_GenomeWideSNP_6_A08_609596	-0.300000	0.755000
LOGIA_p_Shipp_SNP_July_1_S_GenomeWideSNP_6_A12_609586	-0.300000	0.300000
LOGIA_p_Shipp_SNP_July_1_S_GenomeWideSNP_6_B10_609714	-0.300000	0.677000
LOGIA_p_Shipp_SNP_July_1_S_GenomeWideSNP_6_B11_609534	-0.866000	0.300000
LOGIA_p_Shipp_SNP_July_1_S_GenomeWideSNP_6_C04_609698	-1.211000	1.585000
LOGIA_p_Shipp_SNP_July_1_S_GenomeWideSNP_6_C06_609712	-0.300000	0.660000
LOGIA_p_Shipp_SNP_July_1_S_GenomeWideSNP_6_C08_609680	-0.300000	0.825000
LOGIA_p_Shipp_SNP_July_1_S_GenomeWideSNP_6_C12_609588	-0.300000	1.463000
LOGIA_p_Shipp_SNP_July_1_S_GenomeWideSNP_6_D05_609560	-0.300000	1.162000
LOGIA_p_Shipp_SNP_July_1_S_GenomeWideSNP_6_D10_609676	-0.300000	0.659000
LOGIA_p_Shipp_SNP_July_1_S_GenomeWideSNP_6_D12_609590	-1.194000	1.243000
LOGIA_p_Shipp_SNP_July_1_S_GenomeWideSNP_6_E04_609538	-0.300000	0.300000
LOGIA_p_Shipp_SNP_July_1_S_GenomeWideSNP_6_E06_609608	-1.240000	0.300000
LOGIA_p_Shipp_SNP_July_1_S_GenomeWideSNP_6_E08_609638	-0.300000	0.669000
LOGIA_p_Shipp_SNP_July_1_S_GenomeWideSNP_6_F02_609646	-0.300000	0.300000
LOGIA_p_Shipp_SNP_July_1_S_GenomeWideSNP_6_F05_609650	-0.300000	0.300000
LOGIA_p_Shipp_SNP_July_1_S_GenomeWideSNP_6_G01_609606	-1.065000	1.049000
LOGIA_p_Shipp_SNP_July_1_S_GenomeWideSNP_6_G04_609576	-1.190000	0.614000
LOGIA_p_Shipp_SNP_July_1_S_GenomeWideSNP_6_G05_609600	-0.300000	0.962000
LOGIA_p_Shipp_SNP_July_1_S_GenomeWideSNP_6_G10_609622	-0.300000	1.075000
LOGIA_p_Shipp_SNP_July_1_S_GenomeWideSNP_6_H01_609694	-0.300000	0.300000
LOGIA_p_Shipp_SNP_July_1_S_GenomeWideSNP_6_H03_609548	-0.829000	2.405000
LOGIA_p_Shipp_SNP_July_1_S_GenomeWideSNP_6_H07_609672	-0.945000	1.547000
LOGIA_p_Shipp_SNP_July_1_S_GenomeWideSNP_6_H10_609544	-0.936000	0.812000
MYOID_g_Kuni2newsamples_GenomeWideSNP_6_H10_41784	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_A02_41044	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_A03_41060	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_A04_41076	-0.300000	1.072000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_A05_41092	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_A06_41108	-0.625000	1.622000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_A07_41124	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_A09_41156	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_A10_41172	-0.300000	1.281000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_A11_41188	-0.300000	0.727000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_A12_41204	-0.300000	0.602000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_B01_41030	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_B02_41046	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_B03_41062	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_B04_41078	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_B05_41094	-0.300000	0.778000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_B06_41110	-0.300000	0.786000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_B07_41126	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_B09_41158	-0.300000	0.727000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_B10_41174	-0.300000	0.738000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_B11_41190	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_B12_41206	-0.300000	0.783000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_C02_41048	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_C03_41064	-0.620000	0.852000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_C04_41080	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_C05_41096	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_C06_41112	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_C07_41128	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_C08_41144	-0.300000	0.908000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_C09_41160	-0.300000	0.934000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_C11_41192	-0.300000	0.698000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_C12_41208	-0.794000	0.807000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_D01_41034	-0.300000	0.692000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_D03_41066	-0.651000	1.205000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_D04_41082	-1.011000	2.483000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_D05_41098	-0.924000	0.845000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_D06_41114	-0.300000	0.708000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_D07_41130	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_D08_41146	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_D09_41162	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_D11_41194	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_E02_41052	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_E03_41068	-0.904000	1.279000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_E04_41084	-0.300000	0.803000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_E05_41100	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_E06_41116	-0.852000	0.714000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_E07_41132	-0.300000	1.152000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_E08_41148	-0.623000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_E09_41164	-0.300000	1.371000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_E10_41180	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_E11_41196	-0.300000	0.790000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_E12_41212	-0.300000	0.788000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_F01_41038	-0.300000	0.986000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_F02_41054	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_F03_41070	-1.088000	0.936000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_F04_41086	-0.300000	1.035000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_F05_41102	-0.300000	1.715000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_F06_41118	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_F07_41134	-1.120000	0.845000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_F08_41150	-0.779000	1.047000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_F09_41166	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_F10_41182	-0.770000	0.982000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_F12_41214	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_G02_41056	-1.103000	4.384000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_G04_41088	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_G05_41104	-0.300000	0.839000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_G06_41120	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_G08_41152	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_G09_41168	-0.300000	0.707000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_G10_41184	-0.300000	1.242000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_G11_41200	-0.300000	0.605000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_G12_41216	-0.300000	0.647000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_H01_41042	-1.413000	0.941000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_H02_41058	-0.995000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_H03_41074	-0.300000	0.300000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_H04_41090	-0.300000	1.728000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_H05_41106	-0.300000	0.609000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_H06_41122	-0.300000	0.905000
ZAPPY_g_Kuni_1_OMMM581_GenomeWideSNP_6_H11_41202	-0.300000	0.300000
