Unique Name	AmplificationPeak1	AmplificationPeak2	AmplificationPeak3	AmplificationPeak4	AmplificationPeak5	AmplificationPeak6	AmplificationPeak7	AmplificationPeak8	AmplificationPeak9	AmplificationPeak10	AmplificationPeak11	AmplificationPeak12	AmplificationPeak13	AmplificationPeak14	AmplificationPeak15	AmplificationPeak16	AmplificationPeak17	AmplificationPeak18	AmplificationPeak19	AmplificationPeak20	AmplificationPeak21	AmplificationPeak22	AmplificationPeak23	AmplificationPeak24	AmplificationPeak25	AmplificationPeak26
		KLHL12											BHLHB8				INS							SERPINB10		SIGLEC6
		ADIPOR1											DKFZP434B0335				TH							SERPINB8		ZNF175
		CYB5R1											BRI3				ASCL2							CDH7		SIGLEC5
		TMEM183A											BAIAP2L1				TSPAN32							CDH7		SIGLEC14
		TMEM183B											NPTX2				CD81							CDH19		HSA-MIR-99B
		PPFIA4											TMEM130				TSSC4							DSEL		HSA-LET-7E
		MYOG											TRRAP				TRPM5							TXNDC10		HSA-MIR-125A
		ADORA1											SMURF1				KCNQ1							CCDC102B		HAS1
		MYBPH											ARPC1A				CDKN1C							DOK6		FPR1
		CHI3L1											ARPC1B				SLC22A18							CD226		FPRL1
		CHIT1											PDAP1				PHLDA2							RTTN		FPRL2
		BTG2											BUD31				NAP1L4							SOCS6		ZNF577
		FMOD											PTCD1				CARS							CBLN2		ZNF649
		PRELP											CPSF4				OSBPL5							NETO1		ZNF613
		OPTC											ATP5J2				MRGPRE							NETO1		ZNF350
		ATP2B4											ZNF789				ZNF195							FBXO15		ZNF615
		LAX1											ZNF394				ART5							C18ORF55		ZNF614
		ZC3H11A											ZKSCAN5				ART1							CYB5A		ZNF432
		SNRPE											C7ORF38				CHRNA10							C18ORF51		ZNF616
		C1ORF157											ZNF655				NUP98							CNDP2		FLJ16287
		SOX13											ZNF655				FRAG1							CNDP1		PPP2R1A
		ETNK2											ZNF498				RHOG							ZNF407		ZNF766
		REN											CYP3A5				STIM1							ZADH2		HSA-MIR-643
		KISS1											CYP3A7				RRM1							TSHZ1		ZNF480
		GOLT1A											CYP3A4				OR52B4							C18ORF62		ZNF610
		PLEKHA6											CYP3A43				TRIM21							ZNF516		ZNF528
		PPP1R15B											OR2AE1				OR52K2							ZNF236		ZNF578
		PIK3C2B											TRIM4				OR52K1							MBP		ZNF808
		MDM4											GJC3				OR52M1							MBP		ZNF701
		LRRN2											AZGP1				C11ORF40							GALR1		ZNF137
		NFASC											ZKSCAN1				OR52I2							SALL3		ZNF83
		CNTN2											ZSCAN21				OR52I1							ATP9B		ZNF611
		TMEM81											ZNF3				TRIM68							NFATC1		ZNF600
		RBBP5											COPS6				OR51D1							CTDP1		ZNF28
		RIPK5											MCM7				OR51E1							KCNG2		ZNF468
		TMCC2											HSA-MIR-25				OR51E2							PQLC1		ZNF320
		NUAK2											HSA-MIR-93				OR51F1							TXNL4A		ZNF321
		KLHDC8A											HSA-MIR-106B				OR52R1							C18ORF22		ZNF816A
		LEMD1											AP4M1				OR51F2									ZNF160
		HSA-MIR-135B											TAF6				OR51S1									ZNF415
		PCTK3											CNPY4				OR51T1									ZNF347
		MFSD4											LOC255374				OR51A7									ZNF665
													LOC389541				OR51G2									ZNF677
													C7ORF43				OR51G1									VN1R2
													GAL3ST4				OR51A4									VN1R4
													GPC2				OR51A2									BIRC8
													STAG3				MMP26									ZNF765
													GATS				OR51L1									ZNF761
													PVRIG				OR52J3									ZNF813
													MGC57359				OR52E2									ZNF331
													PILRB				OR52A4									DPRX
													PILRA				OR52A5									HSA-MIR-512-1
													ZCWPW1				OR52A1									HSA-MIR-512-2
													MEPCE				OR51V1									HSA-MIR-498
													C7ORF47				HBB									HSA-MIR-520E
													LOC402573				HBD									HSA-MIR-515-1
													TSC22D4				HBG1									HSA-MIR-519E
													C7ORF51				HBG2									HSA-MIR-520F
													HRBL				HBE1									HSA-MIR-515-2
													LRCH4				OR51B4									HSA-MIR-519C
													FBXO24				OR51B2									HSA-MIR-520A
													PCOLCE				OR51B5									HSA-MIR-526B
													MOSPD3				OR51B6									HSA-MIR-519B
													TFR2				OR51M1									HSA-MIR-525
													ACTL6B				OR51Q1									HSA-MIR-523
													GNB2				OR51I1									HSA-MIR-518F
													GIGYF1				OR51I2									HSA-MIR-520B
													POP7				OR52D1									HSA-MIR-518B
													EPO				UBQLN3									HSA-MIR-526A-1
													ZAN				UBQLNL									HSA-MIR-520C
													EPHB4				OR52H1									HSA-MIR-518C
													SLC12A9				OR52B6									HSA-MIR-524
													TRIP6				TRIM6									HSA-MIR-517A
													ARS2				TRIM6-TRIM34									HSA-MIR-519D
													UFSP1				TRIM34									HSA-MIR-521-2
													ACHE				TRIM34									HSA-MIR-520D
													MUC17				TRIM5									HSA-MIR-517B
													TRIM56				TRIM22									HSA-MIR-520G
													SERPINE1				OR56B1									HSA-MIR-516B-2
													AP1S1				OR52N4									HSA-MIR-516-3
													VGF				OR52N5									HSA-MIR-526A-2
													C7ORF52				OR52N1									HSA-MIR-518E
													MOGAT3				OR52N2									HSA-MIR-518A-1
													PLOD3				OR52E6									HSA-MIR-518D
													ZNHIT1				OR52E8									HSA-MIR-516B-1
													CLDN15				OR52E4									HSA-MIR-516-4
													FIS1				OR56A3									HSA-MIR-518A-2
													RABL5				OR52L1									HSA-MIR-517C
													EMID2				OR56A4									HSA-MIR-520H
													MYLC2PL				OR56A1									HSA-MIR-521-1
													CUX1				OR56B4									HSA-MIR-522
													CUX1				OR52B2									HSA-MIR-519A-1
													SH2B2				OR52W1									HSA-MIR-527
													PRKRIP1				C11ORF42									HSA-MIR-516A-1
													ORAI2				C11ORF56									HSA-MIR-516A-2
													ALKBH4				CNGA4									HSA-MIR-519A-2
													LRWD1				CCKBR									HSA-MIR-371
													POLR2J				PRKCDBP									HSA-MIR-372
													POLR2J3				SMPD1									HSA-MIR-373
													MGC119295				APBB1									NLRP12
													RASA4				HPX									NLRP12
													UPLP				TRIM3									MYADM
													POLR2J2				ARFIP2									PRKCG
													FBXL13				FXC1									CACNG7
													LRRC17				C11ORF47									CACNG8
													LRRC17				DNHD1									HSA-MIR-935
													ARMC10				KIAA0409									CACNG6
													NAPEPLD				ILK									VSTM1
													PMPCB				TAF10									OSCAR
													ZRF1				TPP1									NDUFA3
													PSMC2				DCHS1									TFPT
													SLC26A5				MRPL17									PRPF31
													RELN				OR2AG2									CNOT3
													ORC5L				OR2AG1									LENG1
													LHFPL3				OR6A2									TMC4
													MLL5				OR10A5									MBOAT7
													SRPK2				OR10A2									TSEN34
													PUS7				OR10A4									RPS9
													RINT1				OR2D2									LILRB3
													ATXN7L1				OR2D3									LILRA6
													FLJ23834				ZNF215									LILRB5
																	ZNF214									LILRB2
																	NLRP14									LILRA3
																	RBMXL2									LILRA5
																	SYT9									LILRA5
																	OLFML1									LILRA4
																	PPFIBP2									LAIR1
																	CYB5R2									TTYH1
																	OVCH2									LENG8
																	OR5P2									LENG9
																	OR5P3									CDC42EP5
																	OR10A6									LAIR2
																	OR10A3									KIR3DX1
																	NLRP10									LILRA2
																	EIF3F									LILRA1
																	TUB									LILRB1
																	RIC3									LILRB4
																	LMO1									KIR3DL3
																	STK33									KIR3DP1
																	RPL27A									KIR2DL3
																	ST5									KIR2DL1
																	C11ORF17									KIR2DL4
																	C11ORF16									KIR3DL1
																	ASCL3									KIR2DS4
																	TMEM9B									KIR3DL2
																	NRIP3									FCAR
																	SCUBE2									NCR1
																	RAB6IP1									NLRP7
																	TMEM41B									NLRP2
																	IPO7									GP6
																	ZNF143									RDH13
																	WEE1									EPS8L1
																	SWAP70									PPP1R12C
																	SBF2									TNNT1
																	ADM									TNNI3
																	AMPD3									C19ORF51
																	RNF141									SYT5
																	LYVE1									PTPRH
																	MRVI1									TMEM86B
																	CTR9									SAPS1
																	EIF4G2									HSPBP1
																	GALNTL4									BRSK1
																	USP47									LOC284417
																	DKK3									SUV420H2
																	MICAL2									COX6B2
																	MICALCL									IL11
																	PARVA									TMEM190
																	TEAD1									RPL28
																	RASSF10									UBE2S
																	ARNTL									ISOC2
																	BTBD10									ZNF628
																	PTH									NAT14
																	MLSTD2									LOC646643
																	SPON1									ZNF579
																	RRAS2									FIZ1
																	COPB1									ZNF524
																	PSMA1									ZNF784
																	PDE3B									ZNF580
																	CYP2R1									ZNF581
																	CALCA									CCDC106
																	CALCB									U2AF2
																	INSC									EPN1
																	SOX6									NLRP9
																	C11ORF58									NLRP11
																	PLEKHA7									NLRP4
																	RPS13									NLRP13
																	PIK3C2A									NLRP8
																	NUCB2									NLRP5
																	KCNJ11									ZNF787
																	ABCC8									ZNF444
																	USH1C									GALP
																	MYOD1									LOC342933
																	KCNC1									ZSCAN5
																	SERGEF									ZNF582
																	TPH1									ZNF583
																	SAAL1									ZNF667
																	MRGPRX3									ZNF471
																	MRGPRX4									ZFP28
																	SAA4									ZNF470
																	SAA2									ZNF71
																	SAA1									BC37295_3
																	HPS5									ZIM2
																	GTF2H1									PEG3
																	LDHA									USP29
																	LDHC									ZIM3
																	LDHAL6A									DUXA
																	TSG101									ZNF264
																	UEVLD									AURKC
																	SPTY2D1									ZNF460
																	TMEM86A									ZNF543
																	IGSF22									ZNF304
																	PTPN5									ZNF547
																	MRGPRX1									ZNF548
																	MRGPRX2									ZNF17
																	ZDHHC13									ZNF749
																	CSRP3									VN1R1
																	E2F8									ZNF772
																	NAV2									ZNF419
																	DBX1									ZNF773
																	HTATIP2									ZNF549
																	HTATIP2									ZNF550
																	PRMT3									ZNF416
																	SLC6A5									ZIK1
																	NELL1									ZNF530
																	TMEM16E									ZNF134
																	SLC17A6									ZNF211
																	FANCF									ZSCAN4
																	GAS2									ZNF551
																	SVIP									ZNF154
																	LUZP2									ZNF671
																	TMEM16C									ZNF776
																	MUC15									ZNF586
																	SLC5A12									ZNF552
																	FIBIN									ZNF587
																	BBOX1									ZNF417
																	CCDC34									ZNF418
																	LGR4									ZNF256
																	LIN7C									C19ORF18
																	BDNF									ZNF606
																	KIF18A									ZSCAN1
																	HSA-MIR-610									ZNF135
																	METT5D1									ZSCAN18
																	KCNA4									ZNF329
																	FSHB									ZNF274
																	C11ORF46									ZNF544
																	MPPED2									ZNF8
																	DCDC1									ZSCAN22
																	DPH4									A1BG
																	IMMP1L									ZNF497
																	ELP4									
																	PAX6									
																	RCN1									
																	WT1									
																	WIT1									
																	EIF3M									
																	CCDC73									
																	PRRG4									
																	QSER1									
																	DEPDC7									
																	TCP11L1									
																	CSTF3									
																	HIPK3									
																	C11ORF41									
																	CD59									
																	FBXO3									
																	LMO2									
																	CAPRIN1									
																	NAT10									
																	ABTB2									
																	CAT									
																	ELF5									
																	EHF									
																	APIP									
																	PDHX									
																	CD44									
																	SLC1A2									
																	DKFZP586H2123									
																	FJX1									
																	TRIM44									
																	LDLRAD3									
																	COMMD9									
																	FLJ14213									
																	TRAF6									
																	RAG1									
																	RAG2									
																	C11ORF74									
																	LRRC4C									
																	API5									
																	TTC17									
																	HSA-MIR-129-2									
																	HSD17B12									
																	ALKBH3									
																	LOC390110									
																	ACCS									
																	EXT2									
																	ALX4									
																	CD82									
																	TSPAN18									
																	TSPAN18									
																	TP53I11									
																	PRDM11									
																	SYT13									
																	CHST1									
																	SLC35C1									
																	CRY2									
																	MAPK8IP1									
																	LOC143678									
																	PEX16									
																	GYLTL1B									
																	PHF21A									
																	CREB3L1									
																	DGKZ									
																	MDK									
																	CHRM4									
																	AMBRA1									
																	C11ORF77									
																	KIAA0652									
																	ARHGAP1									
																	ZNF408									
																	F2									
																	CKAP5									
																	LRP4									
																	C11ORF49									
																	ARFGAP2									
																	PACSIN3									
																	DDB2									
																	ACP2									
																	NR1H3									
																	MADD									
																	MYBPC3									
																	SPI1									
																	SLC39A13									
																	PSMC3									
																	RAPSN									
																	CUGBP1									
																	PTPMT1									
																	KBTBD4									
																	NDUFS3									
																	C1QTNF4									
																	MTCH2									
																	AGBL2									
																	FNBP4									
																	NUP160									
																	PTPRJ									
																	OR4B1									
																	OR4X2									
																	OR4X1									
																	OR4S1									
																	OR4C3									
																	OR4C45									
																	OR4A47									
																	FOLH1									
																	OR4C13									
																	OR4C12									
																	OR4A5									
																	OR4C46									
																	TRIM48									
																	OR4A16									
																	OR4A15									
																	OR4C15									
																	OR4C16									
																	OR4C11									
																	OR4P4									
																	OR4S2									
																	OR4C6									
																	OR5D13									
																	OR5D14									
																	OR5L1									
																	OR5D18									
																	OR5L2									
																	OR5D16									
																	SPRYD5									
																	OR5W2									
																	OR5I1									
																	OR10AG1									
																	OR5F1									
																	OR5AS1									
																	OR8I2									
																	OR8H2									
																	OR8H3									
																	OR8J3									
																	OR8K5									
																	OR5J2									
																	OR5T2									
																	OR5T3									
																	OR5T1									
																	OR8H1									
																	OR8K3									
																	OR8K1									
																	OR8J1									
																	OR8U1									
																	OR8U8									
																	OR5R1									
																	OR5M9									
																	OR5M3									
																	OR5M8									
																	OR5M11									
																	OR5M10									
																	OR5M1									
																	OR5AP2									
																	OR5AR1									
																	OR9G1									
																	OR9G9									
																	OR9G4									
																	OR5AK2									
																	LRRC55									
																	AGTRL1									
																	TNKS1BP1									
																	SSRP1									
																	P2RX3									
																	PRG3									
																	PRG2									
																	SLC43A3									
																	RTN4RL2									
																	SLC43A1									
																	TIMM10									
																	SMTNL1									
																	UBE2L6									
																	SERPING1									
																	HSA-MIR-130A									
																	YPEL4									
																	CLP1									
																	ZDHHC5									
																	MED19									
																	TXNDC14									
																	C11ORF31									
																	CTNND1									
																	OR9Q1									
																	OR6Q1									
																	OR9I1									
																	OR9Q2									
																	OR1S2									
																	OR1S1									
																	OR10Q1									
																	OR10W1									
																	OR5B17									
																	OR5B3									
																	OR5B2									
																	OR5B12									
																	OR5B21									
																	LPXN									
																	ZFP91									
																	ZFP91-CNTF									
																	CNTF									
																	GLYAT									
																	GLYATL2									
																	GLYATL1									
																	FAM111B									
																	FAM111A									
																	DTX4									
																	MPEG1									
																	OR5AN1									
																	OR5A2									
																	OR5A1									
																	OR4D6									
																	OR4D10									
																	OR4D11									
																	OR4D9									
																	OSBP									
																	PATL1									
																	OR10V1									
																	STX3									
																	MRPL16									
																	GIF									
																	TCN1									
																	PLAC1L									
																	MS4A3									
																	MS4A2									
																	MS4A6A									
																	MS4A4A									
																	MS4A6E									
																	MS4A7									
																	NYD-SP21									
																	MS4A5									
																	MS4A1									
																	MS4A12									
																	MS4A13									
																	MS4A8B									
																	MS4A15									
																	MS4A10									
																	CCDC86									
																	GPR44									
																	ZP1									
																	PRPF19									
																	TMEM109									
																	TMEM132A									
																	SLC15A3									
																	CD6									
																	CD5									
																	VPS37C									
																	PGA3									
																	PGA4									
																	PGA5									
																	VWCE									
																	DDB1									
																	DAK									
																	CYBASC3									
																	TMEM138									
																	MGC13379									
																	FLJ12529									
																	C11ORF79									
																	C11ORF66									
																	SYT7									
																	DAGLA									
																	C11ORF9									
																	C11ORF10									
																	HSA-MIR-611									
																	FEN1									
																	FADS1									
																	FADS2									
																	FADS3									
																	RAB3IL1									
																	BEST1									
																	FTH1									
																	INCENP									
																	SCGB1D1									
																	SCGB2A1									
																	SCGB1D2									
																	SCGB2A2									
																	SCGB1D4									
																	ASRGL1									
																	SCGB1A1									
																	AHNAK									
																	EEF1G									
																	TUT1									
																	MTA2									
																	EML3									
																	ROM1									
																	B3GAT3									
																	GANAB									
																	INTS5									
																	C11ORF48									
																	LOC751071									
																	LOC790955									
																	LOC51035									
																	LOC221091									
																	BSCL2									
																	GNG3									
																	HNRPUL2									
																	TTC9C									
																	ZBTB3									
																	POLR2G									
																	TAF6L									
																	TMEM179B									
																	MGC3196									
																	NXF1									
																	STX5									
																	WDR74									
																	SLC3A2									
																	CHRM1									
																	SLC22A6									
																	SLC22A8									
																	SLC22A25									
																	SLC22A10									
																	SLC22A9									
																	HRASLS5									
																	LGALS12									
																	RARRES3									
																	HRASLS2									
																	HRASLS3									
																	ATL3									
																	RTN3									
																	LOC144097									
																	MARK2									
																	MARK2									
																	RCOR2									
																	NAT11									
																	COX8A									
																	OTUB1									
																	MACROD1									
																	FLRT1									
																	STIP1									
																	FERMT3									
																	FERMT3									
																	TRPT1									
																	TRPT1									
																	NUDT22									
																	DNAJC4									
																	VEGFB									
																	FKBP2									
																	PPP1R14B									
																	PLCB3									
																	BAD									
																	GPR137									
																	KCNK4									
																	DKFZP566E164									
																	ESRRA									
																	HSPC152									
																	PRDX5									
																	CCDC88B									
																	RPS6KA4									
																	SLC22A11									
																	SLC22A12									
																	NRXN2									
																	RASGRP2									
																	PYGM									
																	SF1									
																	MAP4K2									
																	MEN1									
																	CDC42BPG									
																	EHD1									
																	HSA-MIR-192									
																	HSA-MIR-194-2									
																	ATG2A									
																	PPP2R5B									
																	GPHA2									
																	LOC283129									
																	BATF2									
																	ARL2									
																	SNX15									
																	SAC3D1									
																	NAALADL1									
																	CDCA5									
																	ZFPL1									
																	C11ORF2									
																	TM7SF2									
																	ZNHIT2									
																	FAU									
																	MRPL49									
																	SYVN1									
																	SPDYC									
																	CAPN1									
																	SLC22A20									
																	POLA2									
																	CDC42EP2									
																	DPF2									
																	TIGD3									
																	SLC25A45									
																	FRMD8									
																	HSA-MIR-612									
																	SCYL1									
																	LTBP3									
																	SSSCA1									
